Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
CLAS,https://www.crunchbase.com/organization/clas,"E-Commerce, Internet","Class is a connection between people, the value of money, time and things","34,315",,2019-05-29,1918-01-01,year,,https://clas.style/,,,,,Series A,Early Stage Venture,,,,"ANRI, Yusuke Sato, Ayataro Nakagawa, Canal Ventures, Yusuke Mitsumoto",,,,,370000000,JPY,3377237
Encarte,https://www.crunchbase.com/organization/encarte,"Browser Extensions, E-Commerce, Internet",Encarte is a browser extension bringing one-click checkout to any e-commerce store.,"34,353",,2019-03-18,,,https://www.linkedin.com/company/encarte-io,https://www.encarte.io/,support@encarte.io,,,"George Fang, John Ling",Seed,Seed,,,2,Y Combinator,,,,,150000,USD,150000
Champagne EPC,https://www.crunchbase.com/organization/champagne-epc,"Brand Marketing, E-Commerce, Food and Beverage, Wine And Spirits",Champagne EPC is producer of quality champagne offered to provide a real positive experience to anyone tasting the champagne.,"34,377",11-50,2019-05-15,2018-10-03,day,https://www.linkedin.com/company/champagne-epc/about/,https://www.epc-champagne.com,blida@epc-champagne.com,+33686187133,,Edouard Roy,Seed,Seed,,,1,Kima Ventures,,,,,1500000,EUR,1681092
GoodBang,https://www.crunchbase.com/organization/goodbang-inc,"E-Commerce, Information Technology, Real Estate, SaaS",Building up Smart Co-Living Communities. Services and solutions covering new-era residential and commercial properties.,"34,536",11-50,2019-04-15,2019-02-15,day,https://www.linkedin.com/company/goodbang-com/,http://www.goodbang.com,y.liang@goodbang.com,(917)265-8065,,Lexon Liang,Seed,Seed,,,1,"ARCH GLOBAL, Peter Xie, M.S. Lee",,,,,1000000,USD,1000000
Swivel,https://www.crunchbase.com/organization/swivel-beauty-inc,"Beauty, Cosmetics, E-Commerce, Mobile Apps, Private Social Networking, Software",Swivel creates a mobile app that helps black women find the perfect hairdresser.,"34,619",1-10,2019-01-01,2016-08-02,day,,http://www.swivelbeauty.com/,info@swivelbeauty.com,,,"Jennifer Lambert, Jihan Thompson",Pre-Seed,Seed,,,2,"Backstage Capital, XRC Labs",,,,,135000,USD,135000
Taali Foods,https://www.crunchbase.com/organization/taali-foods,"Agriculture, Consumer Goods, E-Commerce, Food and Beverage, Food Processing, Health Care, Snack Food","Taali Foods is a​ food company that offers products made from Non GMO, whole, and natural ingredients.","34,642",1-10,2019-05-30,2017-01-01,year,https://www.linkedin.com/company/taalifoods/,https://www.taalifoods.com/,,,,Aarti Kochhar Kaji,Seed,Seed,,,1,"Y Combinator, Dragon Capital, CRCM Ventures",,,,,,,
Resal,https://www.crunchbase.com/organization/resal,E-Commerce,"Resal, the unique gifting platform that helps you gift those whom you love from various types of gifts and egift cards","34,674",1-10,2019-05-16,2016-10-01,month,https://www.linkedin.com/company/resal,https://www.resal.me/,info@resal.me,,,"Fouad Alfarhan, Hatem Kameli",Seed,Seed,,,2,"Business Incubators and Accelerators Company(BIAC Incubators), Derayah Capital",,,,,800000,USD,800000
Billy,https://www.crunchbase.com/organization/billy-3d22,"E-Commerce, Internet, Transportation",Shared E-bike in Freefloating,"34,778",1-10,2019-01-30,2017-04-01,month,https://www.linkedin.com/company/billydotbike/,https://billy.bike,guillaume@billy.bike,,,Guillaume Verhaeghe,Seed,Seed,,,1,,,,,,1236000,EUR,1419606
Foodbomb,https://www.crunchbase.com/organization/foodbomb,"Agriculture, E-Commerce, Food and Beverage, Travel","Foodbomb allows hospitality venues to search, compare & order from any wholesaler on the platform.","34,834",1-10,2019-04-09,2016-01-01,year,https://www.linkedin.com/company/foodbomb/,https://www.foodbomb.com.au/home,,,,Paul Tory,Seed,Seed,,,1,Equity Venture Partners,,,,,1400000,AUD,997784
Qwest (YC W19),https://www.crunchbase.com/organization/qwst,"E-Commerce, Events, Mobile, Social Media","Qwest is a dynamically priced ""fast-pass"" service to skip lines at popular spots like clubs, bars, festivals and other places with lines.","34,963",1-10,2019-03-18,2018-09-15,day,,http://www.qwest.co,tribe@qwest.co,,,"Andre Woodley Jr, Brandon R. Stokes",Seed,Seed,,,2,Y Combinator,,,,,150000,USD,150000
eyerim,https://www.crunchbase.com/organization/eyerim,"E-Commerce, Eyewear, Marketplace, Optical Communication, Shopping",Eyerim is an online store  that offers unparalleled selection of designer sunglasses and prescription glasses.,"35,025",11-50,2019-02-13,2015-03-01,month,https://www.linkedin.com/company/6456872,https://www.eyerim.com/,contact@eyerim.com,+421 915 774 755,,"Andrea Zahurancova, Branislav Ramsak, Martin Zahuranec, Yassaman Omidbakhsh",Series A,Early Stage Venture,,,4,"Inovo Venture Partners, 3TS Capital Partners, Neulogy Ventures",,,,,1500000,EUR,1689824
Shree,https://www.crunchbase.com/organization/shree,"E-Commerce, Fashion, Lifestyle",Shree is a lifestyle destination focused towards providing ‘up-to-the-minute’ women clothing in India and abroad.,"35,110",,2019-05-08,2009-01-01,year,https://in.linkedin.com/company/shr-lifestyles-pvt-ltd,https://www.shreelifestyle.com/,support@shreelifestyle.com,+91 7827 000 200,,,Venture - Series Unknown,,,,,Alpha Capital,,,,,11500000,USD,11500000
Familyone,https://www.crunchbase.com/organization/familyone,"E-Commerce, E-Commerce Platforms",Familyone is an E-commerce platform.,"35,146",,2019-01-02,2018-01-01,year,,http://www.linlinyi.cn/,,13815241139,,"Xinghu Huang, Zhilong Xiao",Series A,Early Stage Venture,,,2,"Suning.com, Sequoia Capital China, Source Code Capital, Gaorong Capital, Capital Today",,,,,30000000,USD,30000000
LuckaBox,https://www.crunchbase.com/organization/luckabox-logistics-ag,"Delivery, E-Commerce, Information Technology, Logistics, Retail Technology, Supply Chain Management",LuckaBox provides a customer-centric logistics platform that enables retailers with a strong competitive edge via flexible delivery options.,"35,229",11-50,2019-04-11,2016-01-01,year,https://www.linkedin.com/company/luckabox/,https://luckabox.ch/en/,info@luckabox.ch,+41 52 224 7979,,"Aike Festini, Maite Mihm",Seed,Seed,,,2,"Venture Kick, GoBeyond, Alpana Ventures, SICTIC, DAA Capital Partners",,,,,,,
The Dotcom,https://www.crunchbase.com/organization/the-dotcom,"E-Commerce, Internet, Software",A Better Website Builder,"35,294",1-10,2019-05-28,2017-01-01,year,https://www.linkedin.com/company/the-dotcom/,https://www.the.com/,joinus@the.com,303-536-1077,,"Clarke McKinnon, Jeff McKinnon",Seed,Seed,,,2,,,,,,550000,USD,550000
Carbon38,https://www.crunchbase.com/organization/carbon38,"E-Commerce, Fashion, Retail",Carbon38 is the premier e-commerce destination for performance fashion,"35,461",51-100,2019-02-10,2012-07-18,day,http://www.linkedin.com/company/carbon38,http://www.carbon38.com/,customerservice@carbon38.com,(888) 723-5838,,"Caroline Gogolak, Katie Warner Johnson",Convertible Note,Early Stage Venture,,,2,"Halogen Ventures, Winklevoss capital, Brendan Wallace, Foot Locker, Montage Ventures",,,,,10000000,USD,10000000
Kargo Myanmar,https://www.crunchbase.com/organization/kargo-myanmar,"E-Commerce, Internet, Transportation",Kargo is the first online marketplace in Myanmar to connect truck drivers with businesses.,"35,580",11-50,2019-05-07,2016-01-01,year,https://www.linkedin.com/company/13266625/,http://kargomyanmar.com/,,,,"Alex Wicks, Htun Khaing Lynn",Seed,Seed,,,2,"Cocoon Capital, GSMA Ecosystem Accelerator",,,,,800000,USD,800000
Recur Outdoors,https://www.crunchbase.com/organization/postfly,"Consumer Goods, E-Commerce, Outdoors, Recreation, Sporting Goods, Subscription Service",Innovative ideas aimed at disrupting the outdoor industry (one payment at a time).,"36,187",1-10,2019-03-31,2013-11-01,day,https://www.linkedin.com/company/postfly/,https://recuroutdoors.com/,tribe@recuroutdoors.com,(888) 310-3357,,Brian Runnals,Debt Financing,,,,1,"Wefunder, Betaspring, Avidia Bank",,,,2,500000,USD,500000
BUREA (Better Ideas Holdings),https://www.crunchbase.com/organization/better-ideas-llc,"Advertising, Big Data, E-Commerce, Marketing, Mobile, Mobile Apps, Retail",BUREA is a free mobile app to earn cash back on everyday purchases.,"36,636",11-50,2019-05-10,2015-01-01,day,https://www.linkedin.com/company/9228306/,https://www.burea.app,stefan.maganto@burea.app,787-908-9997,,"Manuel Ortiz Bey, Stefan Maganto, Vivian Vargas Martínez",Series A,Early Stage Venture,,,3,"Independent Capital Management, Inc., Expresión 2020",,,,,2000000,USD,2000000
Newly Network,https://www.crunchbase.com/organization/newly-network,"Apps, Bitcoin, Cryptocurrency, E-Commerce, Financial Services, FinTech, Internet, Shopping",Newly Network is a rewards platform that gives you cash or bitcoin when you shop.,"36,641",1-10,2019-03-04,2018-01-01,year,https://www.linkedin.com/company/newly-network,https://trynewly.com/,pr@trynewly.com,833-463-2784,,,Seed,Seed,,,,ELG Ventures,,,,,250000,USD,250000
Googut Wine & Spirits,https://www.crunchbase.com/organization/googut-wine-spirits,"E-Commerce, Wine And Spirits",A Chinese drinks company known for vintage baijiu.,"36,727",,2019-03-19,2012-03-01,month,,http://www.googutwine.com,,,,,Venture - Series Unknown,,,,,Everbright,,,,1,1000000000,CNY,148989108
Goods Unite Us,https://www.crunchbase.com/organization/goods-unite-us-inc,"E-Commerce, Information Technology, Internet, Mobile, Software",Goods Unite Us is an App and website focused on helping consumers shop in alignment with their social and political beliefs. ,"36,796",1-10,2019-01-14,2017-11-01,day,,http://www.goodsuniteus.com,amy@goodsuniteus.com,715-297-1446,,"Abigail Wuest, Amy Jo Miller, Brian Potts",Seed,Seed,,,3,"Rogue Venture Partners, MaSa Partners, Mark Bakken",,,,,500000,USD,500000
Yocabè,https://www.crunchbase.com/organization/yocabe,"E-Commerce, Fashion, Marketplace, Retail",Yocabè connects apparel brands and their products with the global customers of online marketplaces.,"37,149",1-10,2019-04-12,2016-01-01,month,https://www.linkedin.com/company/3624660/,http://www.yocabe.com,info@yocabe.it,+39 3913493786,,"Andrea Mariotti, Lorenzo Ciglioni, Stefania Lafico, Vito Perrone",Seed,Seed,,,4,"Pi Campus, Fabio Mondini de Focatiis, Giovanni Gardelli",,,,,601000,EUR,679633
Nightly.travel,https://www.crunchbase.com/organization/nightly-travel,"E-Commerce, Hotel, Travel, Travel Accommodations, Travel Agency",Nightly.travel is a new way to book hotels – giving travellers the option to switch hotels once during their trip to get the best value.,"37,253",1-10,2019-02-13,2016-01-01,year,https://www.linkedin.com/company/nightly.travel/,https://www.nightly.travel/,hotels@nightly.travel,+44 330 2230 565,,"David Ferreira, Jonathan Hannah, Santiago Navarro",Seed,Seed,,,3,Worth Capital,,,,,18357,GBP,23598
Liuv,https://www.crunchbase.com/organization/liuv,"Apps, E-Commerce, Loyalty Programs, Mobile Payments",Liuv is a startup designed to simplify day-to-day loyalty programs using app's mobile.,"37,305",1-10,2019-05-01,2017-01-01,year,https://www.linkedin.com/company/liuv/,https://www.liuv.it/,contato@liuv.it,55 11 3854 1774,,"Joao Souza Dias Quintella, Pedro Carvalheira",Seed,Seed,,,2,"Visa, 55 VENTURES",,,,,1500000,BRL,382574
My Lil' HealthBot,https://www.crunchbase.com/organization/my-lil-healthbot,"Advertising, Computer, E-Commerce, Health Care, Software",Access Health & Personal Care products from A.I-powered Healthbots. Visit the Healthbot nearest you or shop online at mylilhealthbot.com,"37,825",1-10,2019-03-18,2016-02-22,day,https://www.linkedin.com/company/my-lil'%E2%80%8B-healthmart/about/,https://mylilhealthbot.com,reach.us@mylilhealthmart.com,1833-735-4338,,Tim Decker,Seed,Seed,,,1,Quake Capital Partners,,,,,300000,USD,300000
OrderStorm,https://www.crunchbase.com/organization/orderstorm,"CRM, E-Commerce, E-Commerce Platforms, Enterprise Resource Planning (ERP), Point of Sale, Retail, Retail Technology, SaaS, Software, Unified Communications",OrderStorm is a SaaS company that provides CRM and order management solutions for small and medium-sized enterprises.,"37,978",1-10,2019-03-05,2009-03-01,day,http://www.linkedin.com/company/2567393,http://www.orderstorm.com,info@orderstorm.com,(720) 939-8467,,Daniel Sallis,Series A,Early Stage Venture,,,1,Rockies Venture Club,,,,,500000,USD,500000
Plug In Digital,https://www.crunchbase.com/organization/plug-in-digital,"Consulting, E-Commerce, Video Games","Plug In Digital is a video game distributors help studios and publishers distributing their games worldwide on PC, consoles and mobile.","38,029",11-50,2019-02-14,2012-01-01,year,https://www.linkedin.com/company/plug-in-digital/about/,https://plugindigital.com/,,,,Francis Ingrand,Venture - Series Unknown,,,,1,Inter Invest Capital,,,,,2000000,EUR,2258973
SOZIE,https://www.crunchbase.com/organization/sozie,"E-Commerce, Retail Technology",Models don't look like shoppers. Sozies do. We are online fashion's solution to size and fit challenges.,"38,250",1-10,2019-04-01,2016-09-30,day,https://www.linkedin.com/company/sosie/,http://www.sozie.com/,tahreem@sozie.com,,,Tahreem Arshad,Seed,Seed,,,1,Techstars,,,,,30000,EUR,33615
BestBeing,https://www.crunchbase.com/organization/bestbeing,"E-Commerce, Information Technology, Internet","Enterprise Solutions, HR, Wellness Tech","38,565",1-10,2019-01-01,2018-04-04,day,https://www.linkedin.com/company/bestbeing/,https://bestbeing.com,fparnes@bestbeing.com,610-909-9055,,"Fernando Parnes, Kelsey Daly, Patricia Carlos de Andrade",Pre-Seed,Seed,,,3,,,,,,300000,USD,300000
Newchip,https://www.crunchbase.com/organization/newchip,"E-Commerce, Financial Services, Retail",Online Accelerator For the busy Entrepreneur,"38,585",11-50,2019-03-25,2016-06-16,day,,https://newchip.com/,,,,"Ryan Rafols, Travis Brodeen",Series A,Early Stage Venture,,,2,"Polymath Network, Fenbushi Capital, Alpha Square Group, Kartheek Pulavarthi, Sputnik ATX",,,,,,,
Birdies,https://www.crunchbase.com/organization/birdies,"E-Commerce, Lifestyle, Retail, Shoes","The stylish flat that’s secretly a slipper, featuring elevated style and luxurious comfort","38,590",11-50,2019-01-17,2016-01-01,year,https://www.linkedin.com/company/birdies-inc.,http://birdies.com/,,(415) 263-9668,,"Bianca Gates, Marisa Sharkey",Series A,Early Stage Venture,,,2,"Norwest Venture Partners, Slow Ventures, Social Capital, Forerunner Ventures, Graph Ventures",,,,,8000000,USD,8000000
Moneymour,https://www.crunchbase.com/organization/moneymour,"Banking, E-Commerce, Financial Services, FinTech, Mobile Payments, Payments","At Moneymour we want to make financing easy, quick and transparent. Which is how our consumer point of sale loans are.","38,621",1-10,2019-04-24,2018-02-14,day,https://www.linkedin.com/company/moneymour/,https://www.moneymour.com,info@moneymour.com,+393409652827,,"Giacomo De Lorenzo, Michele Giannotta",Seed,Seed,,,2,Digital Magics,,,,,300000,EUR,334604
Mr. Draper,https://www.crunchbase.com/organization/mr-draper,"E-Commerce, Retail, Shopping",Mr. Draper offers curated shopping services for men.,"38,908",1-10,2019-02-07,2014-03-09,day,,http://www.mrdraper.com,info@mrdraper.ae,+971 4 320 8910,,Mahmoud Gao,Debt Financing,Seed,,,1,"500 Startups, Sheraa Sharjah",,,,,,,
Bidderlo,https://www.crunchbase.com/organization/bidderlo,"E-Commerce, Internet",Bidderlo is an e-commerce online auction site that uses new technology to bid on trending items,"39,166",501-1000,2019-02-01,2018-01-01,year,https://www.linkedin.com/company/bidderlo/,https://www.bidderlo.com,,,,,Series A,Early Stage Venture,,,,Firstime Venture Capital,,,,,1000000,USD,1000000
HotelOnline,https://www.crunchbase.com/organization/hotelonline,"Digital Marketing, E-Commerce, Travel Accommodations","Enabling digital marketing, e-commerce and online distribution for independent hotels in Emerging Markets","39,188",11-50,2019-05-01,2014-09-29,day,https://www.linkedin.com/company/hotelonline,https://www.hotelonline.co/,havar@hotelonline.co,+254787400000,,"Endre Opdal, Håvar Bauck, Maciej Prostak, Moustapha Ndoye",Seed,Seed,,,4,"Stratel, Shravan Shroff, Trond Riiber Knudsen, Tore Hofstad",,,,3,320000,USD,320000
UNL,https://www.crunchbase.com/organization/unl,"Artificial Intelligence, Blockchain, E-Commerce, Last Mile Transportation, Location Based Services, Logistics, Navigation, Smart Cities",The Internet of Places,"39,669",11-50,2019-01-07,2018-10-01,day,https://www.linkedin.com/company/unlglobal/about/,https://unl.global,hi@unl.global,,,"Emanuele Francioni, Fulvio Venturelli, Xander van der Heijden",Seed,Seed,,,3,"SOSV, MOX",,,,,120000,USD,120000
Terra Kaffe,https://www.crunchbase.com/organization/terra-kaffe,"E-Commerce, Food and Beverage",Espresso machines for conscious consumers,"39,732",1-10,2019-01-07,2017-10-01,month,https://www.linkedin.com/company/terra-kaffe/,http://www.terrakaffe.com,contact@terrakaffe.com,,,Sahand Dilmaghani,Pre-Seed,Seed,,,1,XRC Labs,,,,,135000,USD,135000
Subziwalla,https://www.crunchbase.com/organization/subziwalla,"Consumer Goods, Delivery Service, E-Commerce, Food Delivery, Grocery, Retail",Online Indian grocery delivery - the convenient way to shop for Indian ingredients.,"39,741",1-10,2019-02-20,2017-04-01,month,https://www.linkedin.com/company/subziwalla,https://www.subziwalla.com,namaste@subziwalla.com,,,"Manav Thaker, Sajal Rohatgi",Seed,Seed,,,2,,,,,,361000,USD,361000
Teamonk,https://www.crunchbase.com/organization/teamonk-global,"E-Commerce, Food and Beverage",India's Finest Specialty Tea company.,"39,749",11-50,2019-04-04,2016-07-01,month,https://in.linkedin.com/company/teamonk-global-foods-pvt-ltd,https://teamonkglobal.com/,reachus@teamonkglobal.com,91 80-49577577,,"Amit Dutta, Ashok Mittal",Seed,Seed,,,2,"Roots Ventures, Rajat Gupta",,,,,1000000,USD,1000000
Peach Goods,https://www.crunchbase.com/organization/peach-goods,"Consumer Goods, E-Commerce",Peach Goods is the luxury bath tissue brand.,"40,003",1-10,2019-05-20,2017-01-01,year,,https://www.peachgoods.com,support@peachgoods.com,,,Aaron Doades,Pre-Seed,Seed,,,1,,,,,,500000,USD,500000
PureClarity,https://www.crunchbase.com/organization/pureclarity,"E-Commerce, Internet, Software","A York, UK-based company which has developed software for e-commerce businesses to increase sales.","40,094",51-100,2019-04-01,2014-01-01,year,https://www.linkedin.com/company/pureclarity/,https://www.pureclarity.com/,,+44 20 3637 2253,,Paul M Gibson,Series A,Early Stage Venture,,,1,NPIF – Mercia Equity Finance,,,,,750000,GBP,980084
a Pot for Pot,https://www.crunchbase.com/organization/a-pot-for-pot,"Agriculture, Cannabis, E-Commerce, Health Care, Home and Garden, Hydroponics, Organic",The complete kit to grow the most amazing plant at home,"40,173",1-10,2019-01-31,2017-11-01,day,https://www.linkedin.com/company/apotforpot/,https://apotforpot.com/,info@apotforpot.com,,,"Jason Levin, Joshua Mezher",Pre-Seed,Seed,,,2,Jon Holland,,,,,315000,USD,315000
Troquer,https://www.crunchbase.com/organization/troquer,"E-Commerce, E-Commerce Platforms, Fashion, Retail",Troquer is an online market for the re-sale of pre-owned and authenticated fashion items.,"40,247",11-50,2019-03-28,2013-10-16,day,,https://troquer.com.mx/,contacto@troquer.com.mx,+55568434442,,Ytzia Belausteguigoitia,Seed,Seed,,,1,Redwood Ventures,,,,,600000,USD,600000
NEGOS,https://www.crunchbase.com/organization/negos,"Digital Marketing, E-Commerce, Internet, Marketplace, SaaS",Negos is a SaaS technology provider with a portfolio of eCommerce solutions fully integrated for Latin American countries.,"40,711",11-50,2019-05-01,2013-01-01,year,https://www.linkedin.com/company/negos.net/,https://www.negos.net/,info@negos.net, +593 2393 1750,,José Miguel Martinez,Series A,Early Stage Venture,,,1,"Krugerlabs, Tancendes Group",,,,1,400000,USD,400000
Rentle,https://www.crunchbase.com/organization/rentle,"E-Commerce, Payments, SaaS, Software",Creating modern consumer experiences  by remodelling the recreational rental industry.,"40,891",1-10,2019-04-26,2018-01-01,year,https://www.linkedin.com/company/rentle/,https://www.rentle.io,info@rentle.io,,,"Joel Mikkonen, Toomas Kallioja, Tuomo Laine",Pre-Seed,Seed,,,3,"Business Finland, Ali Omar",,,,,250000,EUR,278893
Frizo,https://www.crunchbase.com/organization/frizo,"Beauty, E-Commerce, Internet, Software","Apps, Beauty, E-Commerce, Mobile, SaaS","40,934",1-10,2019-04-10,2016-01-01,year,https://www.linkedin.com/company/frizo,https://www.frizo.com,hr@frizo.com,718-414-4832,,Igor Terrett,Seed,Seed,,,1,,,,,,,,
Maitian.ai,https://www.crunchbase.com/organization/maitian-ai,"Artificial Intelligence, Computer, Computer Vision, E-Commerce, Retail, Software",Maitian.ai is a computer vision powered autonoumous stores that makes the shopping experience even smoother.,"41,072",1-10,2019-03-18,2018-01-01,year,https://www.linkedin.com/company/maitian-ai/,https://maitian.ai/,hello@maitian.ai,,,Ye Xia,Seed,Seed,,,1,Y Combinator,,,,,150000,USD,150000
Web2ship.com,https://www.crunchbase.com/organization/web2ship-com,"E-Commerce, Internet, Marketing, Small and Medium Businesses, Software","Web2ship is booking.com for logistics in Southeast Asia, we help online sellers to book different couriers and postal services.","41,448",1-10,2019-04-29,2017-12-23,day,https://www.linkedin.com/company/web2ship-com,http://www.web2ship.com,support@web2ship.com,,,"Alex Cheong, Winsie Deng",Seed,Seed,,,2,"Artesian VC, SOSV, Chinaccelerator, Lair East Labs, Accelerating Asia",,,,,265000,USD,265000
"ScentBox, Inc",https://www.crunchbase.com/organization/scentbox-inc,"Beauty, E-Commerce, Subscription Service",Monthly subscription service for designer fragrances.,"41,465",11-50,2019-01-29,2016-01-01,year,https://www.linkedin.com/company/18828254,http://www.scentbox.com,social@scentbox.com,844-782-9629,,"Craig Dualba, Les Dualba",Seed,Seed,,,2,LAUNCH,,,,,100000,USD,100000
IDStar,https://www.crunchbase.com/organization/idstar,"Consulting, E-Commerce, Information Technology, Mobile, Software","IT Consultation, IT Consultant, IT Professional Service, IT Outsourcing, Robotic Process Automation","41,912",51-100,2019-05-18,2017-02-24,day,https://www.linkedin.com/company/pt-idstar-cipta-teknologi/,https://www.idstar.co.id,info@idstar.co.id,+62811998832,,Arifa Tan,Seed,Seed,,,1,,,,,,150000,USD,150000
客湖KEHU,https://www.crunchbase.com/organization/madeforgoods,"E-Commerce, Software",客湖KEHU is a SaaS solution for B2B packaged goods companies.,"42,216",51-100,2019-02-27,2016-01-01,year,https://linkedin.com/company/kehutech,http://www.kehutech.com,success@kehutech.com,0086 021 61398031,,"Chris Ge, Thomas Morisset, Toni Hilti, Vince Yang",Series A,Early Stage Venture,,,4,"French Partners, Fengqiao Capital",,,,,3000000,USD,3000000
Moon,https://www.crunchbase.com/organization/moon-ba85,"E-Commerce, Internet",Moon is a platform that allows major cryptocurrencies to be used to make purchases at any online retailer.,"42,281",,2019-01-07,2018-01-01,year,,https://paywithmoon.com,ken@paywithmoon.com,,,Ken Kruger,Seed,Seed,,,1,Entrepreneurs Roundtable Accelerator,,,,,100000,USD,100000
PerShop,https://www.crunchbase.com/organization/pershop,"Apps, E-Commerce","PerShop is a personalized shopping site that only recommends you items from your favorite brands, in your size, in your price range.","42,369",,2019-03-18,2018-11-01,month,https://www.linkedin.com/company/pershopapp/,https://www.pershop.app/,,,,"Amol Jain, Tony Dong",Seed,Seed,,,2,Y Combinator,,,,,150000,USD,150000
Jobbatical,https://www.crunchbase.com/organization/jobbatical,"E-Commerce, Education, Information Technology, Professional Services, Recruiting","Onboard team members from anywhere in the world with our reliable, done-for-you immigration and settle-in services.","42,386",11-50,2019-03-25,2014-03-04,day,https://www.linkedin.com/company/3706723,http://jobbatical.com/,hello@jobbatical.com,,,"Allan Mäeots, Karoli Hindriks, Ronald Hindriks",Series A,Early Stage Venture,,,3,"Union Square Ventures, LocalGlobe, Mistletoe, AirTree Ventures, One Way Ventures",,,,,2300000,USD,2300000
Try & Buy,https://www.crunchbase.com/organization/try-buy,"E-Commerce, Fashion, Shopping",Try & Buy is an online shopping that offers clothing brands or fashions for women's and men's.,"42,884",11-50,2019-04-29,2015-12-01,month,https://www.linkedin.com/company/try-buy-fashions/,http://tryndbuy.com/,,,,Nitin Vats,Seed,Seed,,,1,"SOSV, Chinaccelerator, Venture Catalysts, Bhaskar Raju Konduru, Muralikrishnan B",,,,,,,
Printify,https://www.crunchbase.com/organization/printify-2,"E-Commerce, Fashion, Manufacturing, Marketplace, Printing","Printify is a marketplace, instantly connecting online merchants to major print on demand & dropshipping manufacturers worldwide.","43,137",51-100,2019-05-09,2015-01-01,year,https://www.linkedin.com/company/10648463,https://printify.com,merchantsupport@printify.com,,,"Artis Kehris, Gatis Dukurs, James Berdigans",Seed,Seed,,,3,"Fritz Lanman, Markus Villig, Steve Chen, Bling Capital, Kevin Lin",,,,,3000000,USD,3000000
TutumluAnne,https://www.crunchbase.com/organization/tutumlu-anne,"Baby, Children, E-Commerce, Marketplace",Tutumluanne.com is the first and the biggest C2C online marketplace in Turkey for second hand kids' goods.,"43,217",11-50,2019-03-07,2013-01-01,day,,http://tutumluanne.com,info@tutumluanne.com,,,Ozden Pusat,Seed,Seed,,,1,"Münteha Adalı, Kaan Boyner, Umur Özal, Erinç Özada, Keiretsu Forum",,,,,3600000,USD,3600000
Blidz,https://www.crunchbase.com/organization/blidz,"E-Commerce, Gamification, Gaming, Shopping",Making Shopping Exciting,"43,305",1-10,2019-01-06,2017-07-06,day,https://www.linkedin.com/company/blidz/,https://blidz.com,hello@blidz.com,+358406497215,,Lasse Diercks,Pre-Seed,Seed,,,1,,,,,,530000,EUR,604750
Zhangshangfucai,https://www.crunchbase.com/organization/zhangshangfucai,"B2B, E-Commerce",Zhangshangfucai is a Chinese online B2B platform.,"43,356",,2019-05-21,2017-01-01,year,,http://www.zsfucai.cn/,,,,,Series A,Early Stage Venture,,,,"ZhenFund, Source Code Capital, Ferry Venture Capital, Buhuo Ventures",,,,,30000000,CNY,4346377
Packhelp,https://www.crunchbase.com/organization/packhelp,"E-Commerce, E-Commerce Platforms, Packaging Services, Web Apps",Packhelp is an online platform for creating and ordering custom-branded packaging in a web browser.,"43,455",51-100,2019-03-18,2015-04-01,month,https://www.linkedin.com/company/packhelp/,https://packhelp.com,hello@packhelp.com,,,"Arkadiusz Wasilonek, Konrad Kwiatkowski, Maciej Woźniczko, Maciej Zając, Patryk Kabaj, Wojtek Sadowski",Series A,Early Stage Venture,,,6,"Speedinvest, White Star Capital, Market One Capital, PROfounders Capital, Kogito Ventures",,,,,10000000,USD,10000000
Ninjapromo,https://www.crunchbase.com/organization/ninjapromo,"App Marketing, Blockchain, Brand Marketing, Content Creators, Content Marketing, Creative Agency, Digital Marketing, E-Commerce, Marketing, Social Media Marketing","Creative growth marketing agency that helps scale-ups, startups, blockchain products & e-commerce achieve inspiring results.","43,751",11-50,2019-03-04,2017-01-05,day,https://www.linkedin.com/company/11810697,https://ninjapromo.io,info@ninjapromo.io,,,"Alex Kasperovich, Paul Lipen",Seed,Seed,,,2,Capital Partners,,,,,400000,USD,400000
Compatio,https://www.crunchbase.com/organization/compatio,"E-Commerce, Personalization, Retail Technology, SaaS, Software",SaaS-based Product Discovery Management and Personalization Platform,"43,869",1-10,2019-04-20,2018-06-01,day,https://www.linkedin.com/company/compatio,https://www.compat.io,tim@compat.io,4173008134,,Timothy Baynes,Seed,Seed,,,1,eFactory,,,,,900000,USD,900000
Mipise,https://www.crunchbase.com/organization/mipise,"Crowdfunding, E-Commerce, Web Design",MIPISE is the creation of white-label Crowdfunding platforms.,"43,869",11-50,2019-05-29,2012-01-01,year,https://www.linkedin.com/company/mipise/about/,https://www.mipise.com/fr,contact@mipise.com,+33 1 44 01 50 88,,"Hortense Garand, Jean-Michel Errera, Michel Ivanovsky, Sebastien Bik, Thibaut Assus",Venture - Series Unknown,,,,5,"Bpifrance, European Investment Fund, WeLikeStartup, Investessor, Cédric Delorme",,,,,1300000,EUR,1448004
