Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,Investment Stage,Company Type,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
BeyondHQ,https://www.crunchbase.com/organization/beyondhq,"Commercial Real Estate, Recruiting",We help startups open remote offices,"89,495",1-10,2019-05-27,2018-11-01,month,,For Profit,https://www.linkedin.com/company/beyondhq/,http://beyondhq.co,letsgo@beyondhq.co,,,"Madhu Chamarty, Ross Fubini",Seed,Seed,,,2,"Builders VC, Bloomberg Beta, Costanoa Ventures, Russell Fradin",,,,,,,
Majra,https://www.crunchbase.com/organization/majra,"Information Technology, Recruiting",A career platform that focuses on matching young professionals with employers on the basis of culture fit.,"225,415",1-10,2019-05-23,2017-01-01,day,,For Profit,,https://majra.me/,hello@majra.me,,,,Debt Financing,,,,,500 Startups,,,,,,,
Instawork,https://www.crunchbase.com/organization/instawork,"Hospitality, Internet, Marketplace, Mobile Apps, Recruiting",Instawork is the on-demand staffing app for gig workers and hospitality businesses.,"1,260",51-100,2019-05-22,2015-01-01,year,,For Profit,https://www.linkedin.com/company/instawork/,https://www.instawork.com,press@instawork.com,,,"Saureen Shah, Sumir Meghani",Series B,Early Stage Venture,,,2,"Y Combinator, GV, Spark Capital, Liquid 2 Ventures, Tuesday Capital",,,,,18000000,USD,18000000
Carat Japan,https://www.crunchbase.com/organization/carat-japan,"Artificial Intelligence, Career Planning, Recruiting",Service development and operation to make people shine,"54,463",,2019-05-16,2016-12-05,day,,,,https://www.caratinc.jp/,,,,,Seed,Seed,,,,"Skyland Ventures, Career index, Shinichiro Sugiyama, Ken Ishida, Takeshi Yamamoto",,,,,63000000,JPY,573339
Karat,https://www.crunchbase.com/organization/karat,"Enterprise Software, Recruiting, Software, Software Engineering",Karat conducts highly predictive technical interviews that power world-class hiring processes for leading organizations.,"1,795",51-100,2019-05-15,2014-03-25,day,,For Profit,https://www.linkedin.com/company/karat/,https://karat.com/,experts@karat.io,+1 509.761.9141,,"Jeffrey Spector, Mohit Bhende",Series B,Early Stage Venture,,,2,"Norwest Venture Partners, Tiger Global Management, GGV Capital, Founder Collective, Charlie Songhurst",,,,,28000000,USD,28000000
ENGAGE Talent,https://www.crunchbase.com/organization/jobmarketmaker,"Artificial Intelligence, Predictive Analytics, Recruiting, Software",ENGAGE leverages AI to predict people’s job security and likelihood to change jobs based on publicly available information.,"51,904",101-250,2019-05-15,2014-11-01,month,,For Profit,https://www.linkedin.com/company/engagetalent-com/,http://www.engagetalent.com,hello@engagetalent.com,(855)435-6566,,Joseph Hanna,Venture - Series Unknown,M&A,,,1,"Silicon Valley Bank, Rise of the Rest, High Alpha, South Carolina Research Authority, Refinery Ventures",,,,,3500000,USD,3500000
SeekOut,https://www.crunchbase.com/organization/seekout,"Artificial Intelligence, Recruiting, SaaS, Software",SeekOut gives companies a competitive edge in recruiting hard-to-find and diverse talent.,"6,590",11-50,2019-05-14,2015-09-01,month,,For Profit,,https://seekout.io/,support@seekout.io,,,"Anoop Gupta, Aravind Bala, John Tippett, Vikas Manocha",Series A,Early Stage Venture,,,4,"Madrona Venture Group, Mayfield Fund",,,,,6000000,USD,6000000
humanpredictions,https://www.crunchbase.com/organization/humanpredictions,"Human Resources, Recruiting, SaaS, Software",Recruiting Software Built for the Tech Industry,"20,994",11-50,2019-05-09,2015-10-01,day,,For Profit,https://www.linkedin.com/company/humanpredictions-io/,http://www.humanpredictions.io,sales@humanpredictions.io,,,"Elliott Garms, John Hundrieser",Venture - Series Unknown,,,,2,"M25, Hyde Park Angels (HPA), Network Ventures, Nameless Ventures",,,,,1160000,USD,1160000
freecracy,https://www.crunchbase.com/organization/freecracy,"Employment, Recruiting, SNS",freecracy is developing a job hunting and cloud sourcing SNS platform,"43,932",11-50,2019-05-09,2018-01-01,year,,,https://www.linkedin.com/company/freecasia/,https://freec.asia/,,,,,Venture - Series Unknown,,,,,"VOYAGE VENTURES, Digital Hollywood",,,,,40000000,JPY,364185
HeyJobs,https://www.crunchbase.com/organization/heyjobs,"Artificial Intelligence, Human Resources, Information Technology, Recruiting, SaaS, Software",HeyJobs is a talent platform matching the world's talents to opportunities.,"3,629",101-250,2019-05-08,2016-03-01,day,,For Profit,https://www.linkedin.com/company/10477629/,https://hire.heyjobs.co/en-us/,info@heyjobs.co,+49 30 516958550,,"Marius Jeuck, Marius Luther",Series A,Early Stage Venture,,,2,"Global Founders Capital, Notion, Heartcore Capital, Creathor Ventures",,,,,12000000,USD,12000000
Skillenza,https://www.crunchbase.com/organization/venturesity,"Education, Human Resources, Recruiting",The optimum gap filler between required market-ready skills and the current college student skillset.,"6,816",11-50,2019-05-08,2012-01-01,year,,For Profit,https://www.linkedin.com/company/13298157/,https://beta.skillenza.com/signup,support@venturesity.com,+09590091584,,"Prashant Koirala, Rajesh Rai, Subhendu Panigrahi",Seed,Seed,,,3,"LetsVenture, Blume Ventures, Keiretsu Forum, Indian Angel Network, Tracxn",,,,,1000000,USD,1000000
Brigad,https://www.crunchbase.com/organization/brigad,"Business Development, Human Resources, Recruiting, Staffing Agency",Brigad is a staffing and recruiting company that provides staff and workforce on demand for hospitality and retail businesses.,"10,346",51-100,2019-05-07,2015-11-01,month,,For Profit,https://www.linkedin.com/company/brigad/,http://www.brigad.co,captains@brigad.co,06 44 60 80 49,,"Alexandre Rovetto, Florent Malbranche, Jean Lebrument",Series B,Early Stage Venture,,,3,"Uber, Serena, 50 Partners, Leap Ventures, Square Capital",,,,,6000000,EUR,6713752
Sense,https://www.crunchbase.com/organization/sense-talent-labs,"Consulting, Internet, Recruiting, SaaS, Software",Sense is a smart talent engagement and communication platform built for the staffing industry.,"2,045",51-100,2019-05-03,2015-01-01,year,,For Profit,https://www.linkedin.com/company/sensehq/,http://www.sensehq.com,info@sensehq.com,,,"Alex Rosen, Anil Dharni, Pankaj Jindal, Ram Gudavalli",Series B,Early Stage Venture,,,4,"GV, Khosla Ventures, Accel, Signia Venture Partners, Chiratae Ventures",,,,,13500000,USD,13500000
Pesto Tech,https://www.crunchbase.com/organization/pesto,"Education, Higher Education, Information Services, Information Technology, Recruiting, Software",Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,"7,862",1-10,2019-05-02,2017-01-01,year,,,https://www.linkedin.com/company/pestotech/,https://pesto.tech/,info@pesto.tech,,,"Andrew Linfoot, Ayush Jaiswal",Seed,Seed,,,2,"Matrix Partners India, Sriharsha Majety, Rahul Jaimini, Ritesh Malik, Nandan Reddy",,,,,2000000,USD,2000000
Apli,https://www.crunchbase.com/organization/apli,"Marketplace, Recruiting, Staffing Agency",Apli is revolutionizing recruiting in Latam by providing on-demand certified workers to companies that have urgent job openings,"16,645",11-50,2019-05-02,2016-04-01,day,,For Profit,https://www.linkedin.com/company/apli/,http://www.apli.jobs,jose@apli.jobs,,,"José María Pertusa, Vera Makarov, Yeri Arenas",Seed,Seed,,,3,"Global Founders Capital, BlueBox Ventures, Social Capital, ALLVP, IGNIA",,,,,1000000,USD,1000000
Merito,https://www.crunchbase.com/organization/merito,"Human Resources, Recruiting, Retail, SaaS",Merito is a recruitment platform that connects  job seekers.,"41,463",11-50,2019-05-02,2016-05-02,day,,For Profit,https://www.linkedin.com/company/r%C3%A9seau-merito/,https://merito.fr,hello@merito.fr,,,Pierre Maury,Venture - Series Unknown,,,,1,"Wilco, The Refiners, UL Invest, ZTP - Ze 12th Player",,,,,1000000,EUR,1117443
Jabord,https://www.crunchbase.com/organization/jabord-inc,"Internet, Recruiting, SaaS",Multimedia recruitment SaaS platform for millennials that offers incredible value through digital transformation of the hiring process.,"29,683",11-50,2019-05-01,2016-04-01,month,,For Profit,https://www.linkedin.com/company/jabord-inc.,http://www.jabord.com,ravi@jabord.com,,,Ravi Kumar,Pre-Seed,Seed,,,1,,,,,,1000000,USD,1000000
MyShoperoo,https://www.crunchbase.com/organization/myshoperoo,"Artificial Intelligence, B2B, Employee Benefits, Human Resources, Local Shopping, Logistics, Recruiting, Same Day Delivery","MyShoperoo is an on-demand errand service that optimizes and run personal errands for employees, offered as a perk.","34,216",1-10,2019-05-01,2018-04-01,month,,For Profit,https://www.linkedin.com/company/myshoperoo/,https://myshoperoo.com/,Contact@MyShoperoo.com,1-855-546-7376,,"Krishna Vanka, Shaz Shaukat",Pre-Seed,Seed,,,2,,,,,,400000,USD,400000
Tempo,https://www.crunchbase.com/organization/tempo-5,"Human Resources, Internet, Marketplace, Recruiting",Tempo is a marketplace connecting brilliant business support professionals with the best employers.,"57,111",,2019-05-01,2017-01-01,year,,For Profit,https://www.linkedin.com/company/heytempo,https://www.heytempo.com/talent/,info@heytempo.com,+442086347125,,"Ben Chatfield, Ollie Povey",Series A,Early Stage Venture,,,2,"Hambro Perks Ltd., Michael Jackson, Michael Whitfield, Chris Bruce, Derek Jacobson",,,,,1750000,GBP,2284314
RecruVia,https://www.crunchbase.com/organization/recruvia,"Human Resources, Information Technology, Legal, Recruiting, SaaS",India's first Legal Recruitment Marketplace powered by AI,"156,241",1-10,2019-05-01,2017-01-01,day,,For Profit,https://in.linkedin.com/company/recruvia,https://recruvia.com,support@recruvia.com,8108953425,,Sachin Sukumar,Seed,Seed,,,1,,,,,,,,
Panda Cloud,https://www.crunchbase.com/organization/panda-cloud,"Internet, Recruiting",Panda Cloud is a HR service provider for basic job recruitment .,"58,340",,2019-04-30,2009-11-10,day,,,,https://g.panda-cloud.me/user/index,Hi@panda-cloud.org,909-439-7020,,,Angel,Seed,,,,,,,,,8000000,CNY,1187850
Aptology,https://www.crunchbase.com/organization/aptology,"E-Learning, Human Resources, Internet, Predictive Analytics, Psychology, Recruiting, Sales","Aptology combines behavioral science and predictive analytics to match people to job positions, maximizing their chances of success. ","10,832",11-50,2019-04-25,2017-01-01,month,,For Profit,https://www.linkedin.com/company/15222038/,http://www.aptology.com/,success@aptology.com,(415)  671 - 4700,,"Bill Walsh, Brad Benson, Suchi Pathak",Series A,Early Stage Venture,,,3,"Zetta Venture Partners, WestWave Capital, Core Capital Partners, Handshake",,,,,8400000,USD,8400000
Eightfold,https://www.crunchbase.com/organization/eightfold,"Artificial Intelligence, Big Data, Business Intelligence, Human Resources, Information Technology, Recruiting, Software","Eightfold pioneered the Talent Intelligence Platform, which empowers enterprises to acquire, engage and retain a diverse pool of talent.","22,957",101-250,2019-04-24,2016-01-01,year,,For Profit,https://www.linkedin.com/company/eightfoldai/,http://eightfold.ai,info@eightfold.ai,650-265-7380,,"Ashutosh Garg, Varun Kacholia",Series C,Late Stage Venture,,,2,"Lightspeed Venture Partners, Foundation Capital, IVP (Institutional Venture Partners), South Park Commons",,,,,28000000,USD,28000000
CEIPAL,https://www.crunchbase.com/organization/ceipal-llc,"Human Resources, Internet, Recruiting, Software, Staffing Agency",CEIPAL is an integrated Cloud HCM solution delivers in a single platform from hiring to workforce collaboration from anywhere anytime.,"3,426",101-250,2019-04-23,2015-12-05,day,,For Profit,https://www.linkedin.com/company/ceipal,https://www.ceipal.com/,contact@ceipal.com,5853261312,,Sameer Penakalapati,Series A,Early Stage Venture,,,1,"Mistral Venture Partners, Resolve Growth Partners",,,,1,7500000,USD,7500000
VCV.RU,https://www.crunchbase.com/organization/vcv-ru,"Energy Efficiency, Recruiting, Staffing Agency, Video",VCV.RU is the first video interviewing service in Russia,"43,950",11-50,2019-04-23,2010-01-01,year,,,https://www.linkedin.com/company/vcv-ru/,https://vcv.ru/,info@vcv.ru,+7 495 721-85-39,,Ilya Lazuchenkov,Series A,Early Stage Venture,,,1,"500 Startups, Talent Equity Ventures (TEqV), Will Group",,,,,1700000,USD,1700000
InterviewBit,https://www.crunchbase.com/organization/interviewbit,"E-Learning, Employment, Recruiting",InterviewBit is a platform to learn skills that you need for technology jobs.,"6,940",11-50,2019-04-19,2015-01-01,year,,For Profit,https://www.linkedin.com/company/interviewbit,https://www.interviewbit.com,info@interviewbit.com,+91 99 23 704608,,"Abhimanyu Saxena, Anshuman Singh",Seed,Seed,,,2,Surge Ahead,,,,,1500000,USD,1500000
foodison,https://www.crunchbase.com/organization/foodison,"Career Planning, Media and Entertainment, Recruiting",Foodison is a Contributing to the revitalization of the fishery industry.,"36,376",,2019-04-19,2013-04-01,day,,,,http://foodison.jp/,,,,,Venture - Series Unknown,,,,,"SBI Investment, Global Brain Corporation, Mitsubishi UFJ Capital, Chibagin Capital, JR East Start Up",,,,,500000000,JPY,4467476
Khonvo,https://www.crunchbase.com/organization/khonvo,"Recruiting, Software",Khonvo is a team of tech enabled recruiters who do their best to keep their focus on the human elements of recruitment.,"110,831",1-10,2019-04-19,2018-01-01,year,,For Profit,https://www.linkedin.com/company/619-partners,https://khonvo.com,team@khonvo.com,,,"Andrew Rising, Archit Bhise, Fergus O'Brien",Seed,Seed,,,3,Kairos,,,,,,,
BeTheBeast,https://www.crunchbase.com/organization/bethebeast,"Recruiting, Social Media, Sports",BeTheBeast develops a college sports recruiting solution enabling athletes to connect with the best coaches and teams in town.,"40,492",11-50,2019-04-17,2011-01-01,year,,For Profit,https://www.linkedin.com/company/bethebeast-inc-,https://www.bethebeast.com,smahoney@bethebeast.com,(424)236-0477,,"David Mok, Greg Martin, Michael Mahoney",Seed,Seed,,,3,"BAM Ventures, Wavemaker Partners, Tech Coast Angels, Archer Venture Capital",,,,,,,
Smart Staffing Group,https://www.crunchbase.com/organization/smart-staffing-group,"Recruiting, Staffing Agency",Smart Staffing Group is a Staffing and Recruiting company.,"53,502",,2019-04-17,2014-01-01,year,,For Profit,https://www.linkedin.com/company/smart-staffing-group/,http://www.smartstaffinggroup.com/,,845-433-0700,,,Seed,Seed,,,,Pulsar Venture Capital,,,,,20000000,RUB,312985
Outreach,https://www.crunchbase.com/organization/outreach,"CRM, Enterprise, Enterprise Software, Recruiting, SaaS, Sales",Outreach is a sales engagement platform that accelerates revenue growth by optimizing interactions throughout the customer lifecycle.,464,251-500,2019-04-16,2011-01-01,year,,For Profit,https://www.linkedin.com/company/outreach-saas/,https://www.outreach.io/,hello@outreach.io,1(888) 938-7356,Unicorn,"Andrew Kinzer, Gordon Hempton, Manny Medina, Wes Hather",Series E,Late Stage Venture,,,4,"Techstars, M12, Sapphire Ventures, Spark Capital, Meritech Capital Partners",,,,1,114000000,USD,114000000
WeAreDevelopers,https://www.crunchbase.com/organization/wearedevelopers,"Human Resources, Marketplace, Recruiting",Our vision is to become the world’s leading community for developers.,"31,378",51-100,2019-04-16,2017-04-01,month,,For Profit,https://in.linkedin.com/company/wearedevelopers.org,https://www.wearedevelopers.com/,hello@wearedevelopers.com,,,"Benjamin Ruschin, Sead Ahmetovic, Thomas Pamminger",Venture - Series Unknown,,,,3,"i5invest, Udo Schloemer, Thomas Bachem, Benjamin Ruschin, Heise Medien",,,,,3200000,EUR,3611086
Peepz,https://www.crunchbase.com/organization/peepz,"Recruiting, Staffing Agency",Peepz is an online booking portal for staff in the Marketing and Events industries.,"284,680",,2019-04-16,,,,,,http://peepz.co.za/,info@peepz.co.za,+2774 158 7102,,,Seed,Seed,,,,Sozala Media,,,,,,,
Hireology,https://www.crunchbase.com/organization/hireology,"Human Resources, Identity Management, Recruiting, SaaS, Software",Hireology is a staffing and hiring platform for the franchise and retail-automotive industries.,"4,517",51-100,2019-04-15,2010-07-01,day,,For Profit,http://www.linkedin.com/company/hireology,http://www.hireology.com,info@hireology.com,(312)253-7870,,"Adam Robinson, Jeff Ellman, Michael Krasman",Series D,Late Stage Venture,,,3,"Silicon Valley Bank, Bain Capital Ventures, Lightbank, Baird Capital, Blue Cloud Ventures",,,,,27000000,USD,27000000
Nexza,https://www.crunchbase.com/organization/nexza,"Internet, Recruiting, Software",Nexza is a recruiting platform that confidentially connects software professionals with hiring software teams.,"43,293",1-10,2019-04-15,2018-11-08,day,,For Profit,https://www.linkedin.com/company/33239980/admin/,https://www.nexza.com,hello@nexza.com,​770-691-5330,,"Amadeo Gallardo, Keyur Vimawala, Mason Hugus, Rob Patten",Pre-Seed,Seed,,,4,"Jon Hallett, Rob Patten, Keyur Vimawala, Jeremey Zela",,,,,650000,USD,650000
Zuna,https://www.crunchbase.com/organization/zuna-9793,"Education, Employment, Information Technology, Internet, Recruiting, Training",Zuna is a startup that connects students to internship opportunities.,"71,555",1-10,2019-04-13,2018-01-01,year,,For Profit,https://www.linkedin.com/company/zuna-estagios/,https://www.zuna.com.br/,falecom@zuna.com.br,,,"Cristiano Mendes, Everton Mendes, Giuseppe Lopes",Seed,Seed,,,3,WOW Aceleradora,,,,,150000,BRL,38626
Triplebyte,https://www.crunchbase.com/organization/triplebyte,"Human Resources, Internet, Recruiting, Software",Triplebyte is a recruiting and technical screening platform for tech companies.,"2,228",11-50,2019-04-11,2015-01-01,year,,For Profit,https://www.linkedin.com/company/triplebyte,http://triplebyte.com,support@triplebyte.com,,,"Ammon Bartram, Guillaume Luccisano, Harjeet Taggar",Series B,Early Stage Venture,,,3,"Y Combinator, Initialized Capital, Felicis Ventures, Paul Graham, Caffeinated Capital",,,,,35000000,USD,35000000
Atheneum,https://www.crunchbase.com/organization/atheneum-partners,"Business Intelligence, Market Research, Recruiting, Staffing Agency",Atheneum is a marketplace for industry experts providing faster insights and better data .,"5,608",251-500,2019-04-11,2010-01-01,year,,For Profit,http://www.linkedin.com/company/1120548,http://www.atheneum-partners.com,info@atheneum-partners.com,+49 30 679 661 400,,"Ammad Ahmad, Mathias Wengeler",Venture - Series Unknown,,,,2,"Senovo, Redstone, Crosslantic Capital, Vogel Ventures",,,,,10000000,EUR,11260398
Instaffo,https://www.crunchbase.com/organization/instaffo,"Big Data, Career Planning, Human Resources, Information Technology, Recruiting",Instaffo is a fully automated recruiting platform and career service for companies and ambitious professionals.,"19,543",101-250,2019-04-10,2014-10-01,month,,For Profit,https://www.linkedin.com/company/10348996?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10348996%2Cidx%3A2-1-2%2CtarId%3A1449846398758%2Ctas%3Ainstaffo,http://instaffo.com/,info@instaffo.de,+49 6221 6484940,,"Christoph Zoeller, Daniel Schaefer",Series A,Early Stage Venture,,,2,"FinLab, Carsten Erdt, Volker Rofalski, Mpool Beteiligungen",,,,,2000000,EUR,2255180
EKRUT,https://www.crunchbase.com/organization/ekrut,"Consulting, Recruiting",EKRUT matches excellent people with excellent companies,"90,803",11-50,2019-04-10,2016-08-01,month,,For Profit,https://www.linkedin.com/in/ekrut,https://ekrut.com/,help@ekrut.com,,,"Anthony Kusuma, Steven Suliawan",Seed,Seed,,,2,"East Ventures, BizReach, Azure Capital Partners, Skystar Capital, Prasetia Dwidharma",,,,,,,
Amberjack,https://www.crunchbase.com/organization/gradweb,"Automotive, Finance, Recruiting, Software, Transportation","GradWeb has evolved. We are now Amberjack. Experts in future talent and volume recruitment outsourcing, technology and assessment.","34,594",11-50,2019-04-08,2000-01-01,year,,For Profit,http://www.linkedin.com/company/gradweb,https://www.weareamberjack.com,hello@weareamberjack.com,+01635584130,,,Private Equity,Private Equity,,,,LDC,,,,,17600000,GBP,22987514
Oliv,https://www.crunchbase.com/organization/oliv,"Career Planning, Education, Employment, Recruiting","Oliv (oliv.com) is a career marketplace made for the youth. Based in Dubai (UAE), we connect students and grads to internships & jobs.","14,491",11-50,2019-04-07,2012-01-01,year,,For Profit,https://www.linkedin.com/company/2683263/,http://www.oliv.com,contact@oliv.com,+971 4 432 4500,,Jean-Michel Gauthier,Series A,Early Stage Venture,,,1,"Arya Bolurfrushan, Mohammed Bin Rashid Innovation Fund (MBRIF), Aloshban and Alnamlah Family Groups, Mohammed Khoory",,,,,2000000,USD,2000000
Talentuno,https://www.crunchbase.com/organization/gws-hub,"Brand Marketing, Digital Media, Recruiting, SaaS, Social Recruiting",Recruitment crowdsourcing platform transforming the way people find jobs and companies find talent through personal networks.,"20,614",51-100,2019-04-04,2016-01-01,day,,For Profit,https://www.linkedin.com/company/talentuno-hungary/,https://talentuno.com,hello@talentuno.com,0036207733140,,"Péter Balázsik, Zsolt Kelliar",Series A,Early Stage Venture,,,2,"Hiventures Investment Fund, Bonitás Venture Capital Fund Management",,,,,4000000,EUR,4489997
Mewcket,https://www.crunchbase.com/organization/mewcket,"Information Technology, Media and Entertainment, Recruiting","Mewcket creating a new platform for AI scientists, globally. Many tons of AI scientists register our service and they can get new career.","39,733",1-10,2019-04-01,2016-08-09,day,,For Profit,,https://peakers.jp/,kobayashi@mewcket.co.jp,+81-90-6506-5089,,Tasuku Kobayashi,Seed,Seed,,,1,"CyberAgent Capital, Venture United, Yanagisawa Yasuyoshi",,,,,22000000,JPY,197395
Sweetspotter,https://www.crunchbase.com/organization/sweetspotter,"Human Resources, Internet, Recruiting, SaaS","Sweetspotter is your smart recruiter in the cloud. We spot the best IT jobs, companies and professionals, for you.","109,704",1-10,2019-04-01,2017-09-13,day,,For Profit,https://www.linkedin.com/company/11248390,https://sweetspotter.io/home,contact@sweetspotter.io,,,"Heikki Erola, Jukka Hertto",Pre-Seed,Seed,,,2,Business Finland,,,,,150000,EUR,168075
User Interviews,https://www.crunchbase.com/organization/user-interviews,"Market Research, Product Research, Recruiting",User Interviews is the fastest way to recruit participants for product tests and market research.,"9,785",,2019-03-29,2015-09-01,day,,For Profit,,https://www.userinterviews.com/,team@userinterviews.com,,,"Basel Fakhoury, Dennis Meng",Seed,Seed,,,2,"FJ Labs, Accomplice, Dorm Room Fund, Las Olas Venture Capital (LOVC)",,,,,5000000,USD,5000000
Crelate,https://www.crunchbase.com/organization/crelate,"Computer, Recruiting, Software","Crelate is Talent Relationship Management, Paired with Simple, Flexible Applicant Tracking, Delivered with White-Glove Service","10,582",11-50,2019-03-28,2012-01-01,day,,,https://www.linkedin.com/company/3195074,http://www.crelate.com,,443.569.8262,,"Aaron Elder, Mark Barrett, Michael Speca",Venture - Series Unknown,,,,3,"Five Elms Capital, Alliance of Angels",,,,,5300000,USD,5300000
CREST JOB,https://www.crunchbase.com/organization/crest-job,"Professional Services, Recruiting",CREST JOB is provides recruiting services in the IT and game fields.,"74,953",,2019-03-26,2018-03-01,month,,,,https://www.crest-job.com/,,+03-5924-6778,,,Corporate Round,,,,,Poletowin Pitcrew Holding,,,,,30000000,JPY,271316
eCheng,https://www.crunchbase.com/organization/echeng,"Big Data, Database, Human Resources, Recruiting, SaaS",ECheng is a big data-driven recruitment platform that provides HR matching and resume screening services for enterprises.,"17,601",,2019-03-25,2013-01-01,year,,For Profit,https://www.linkedin.com/company/ifchange,http://www.ifchange.com/,kf@ifchange.com,+862161413332,,Youhong Zhou,Series C,Late Stage Venture,,,1,"Lightspeed Venture Partners, Sunshine Insurance Group, Lightspeed China Partners, Cathay Capital Private Equity, Cathay Innovation",,,,,80000000,USD,80000000
Jobbatical,https://www.crunchbase.com/organization/jobbatical,"E-Commerce, Education, Information Technology, Professional Services, Recruiting","Onboard team members from anywhere in the world with our reliable, done-for-you immigration and settle-in services.","40,107",11-50,2019-03-25,2014-03-04,day,,For Profit,https://www.linkedin.com/company/3706723,http://jobbatical.com/,hello@jobbatical.com,,,"Allan Mäeots, Karoli Hindriks, Ronald Hindriks",Series A,Early Stage Venture,,,3,"Union Square Ventures, LocalGlobe, AirTree Ventures, Mistletoe, One Way Ventures",,,,,2300000,USD,2300000
Fetcher,https://www.crunchbase.com/organization/scout-technologies,"Artificial Intelligence, Employment, Recruiting",Fetcher offers automated candidate sourcing services.,"5,016",11-50,2019-03-21,2014-01-01,year,,For Profit,https://www.linkedin.com/company/10438572/,http://fetcher.ai,,,,"Andres Blank, Chris Calmeyn, Genevieve Wolff Jurvetson",Seed,Seed,,,3,"Picus Capital, Accomplice, Slow Ventures, Grand Central Tech, Revel Partners",,,,,5400000,USD,5400000
Qwick,https://www.crunchbase.com/organization/qwick,"Apps, Food and Beverage, Hospitality, Mobile, Recruiting, Staffing Agency",Qwick is an on-demand staffing company that connects service industry professionals with food and beverage shifts in real-time.,"6,879",11-50,2019-03-20,2017-01-01,year,,For Profit,https://www.linkedin.com/company/qwick/,https://www.qwick.com/,support@qwick.com,,,"Blaine Light, Chris Loeffler, Jamie Baxter",Seed,Seed,,,3,"Rise of the Rest, Album VC, Moving Capital, XG Ventures, Desert Angels",,,,,3500000,USD,3500000
70 Million Jobs,https://www.crunchbase.com/organization/70-million-jobs,"Human Resources, Internet, Recruiting","70MillionJobs is the first national, for-profit employment platform for people with criminal records.","17,318",1-10,2019-03-18,2016-10-05,day,,For Profit,https://www.linkedin.com/company/70-million-jobs/,https://www.70millionjobs.com/,Richard@70MIllionJobs.com,415-926-5273,,Richard Bronson,Seed,Seed,,,1,"Y Combinator, M Ventures, Justin Waldron, Nicolas Ritz, Quake Capital Partners",,,,,150000,USD,150000
Pyxai,https://www.crunchbase.com/organization/pyxai,"Human Resources, Information Technology, Recruiting, Software","Pyxai is a software company that creates HR software that screens and ranks job applicants for qualifications, soft skills, and culture fit.","40,884",1-10,2019-03-18,2018-01-01,year,,,https://www.linkedin.com/company/pyxai/about/,https://www.pyxai.com/,,,,"Angela Edwards, Kurt Edwards",Seed,Seed,,,2,Y Combinator,,,,,150000,USD,150000
Nettrons,https://www.crunchbase.com/organization/nettrons,"Human Resources, Recruiting",Nettrons is the people matching engine that speaks your language.,"55,254",1-10,2019-03-18,2018-01-01,year,,For Profit,https://www.linkedin.com/company/nettrons/,https://www.nettrons.com/,,,,"Landice Gao, Xiaoyan Wu",Seed,Seed,,,2,Y Combinator,,,,,150000,USD,150000
Ascen,https://www.crunchbase.com/organization/modern-labor,"Internet, Recruiting, Staffing Agency",Marketplace for remote talent,"89,666",1-10,2019-03-18,2018-01-01,year,,,https://www.linkedin.com/company/ascen-com,https://ascen.com/,,,,"Francis Larson, Oliver Birch",Seed,Seed,,,2,"Y Combinator, VentureSouq, Kairos, Chris Mairs, Magic Carpet",,,,,,,
Gigstar.app,https://www.crunchbase.com/organization/gigstar-app,"Freelance, Information Technology, Marketplace, Recruiting, Sharing Economy",Gigstar is the ultimate app platform for the future of work. An On-Demand workforce within the Gig Economy.,"191,711",1-10,2019-03-14,2019-03-14,day,,For Profit,https://www.linkedin.com/company/gigstar-app,https://gigstar.app,start@gigstar.app,+4560654585,,Amin Durani,Pre-Seed,Seed,,,1,,,,,,,,
Cluster,https://www.crunchbase.com/organization/cluster-a490,"Aerospace, Automotive, Career Planning, Employment, Human Resources, Industrial Manufacturing, Manufacturing, Recruiting, SaaS","Connecting engineers to Industrial Tech careers in Aviation, Aerospace & Defense","11,539",1-10,2019-03-13,2018-03-01,month,,For Profit,https://www.linkedin.com/company/clusterinc/,http://www.clusterinc.com/,,,,Kim Taylor,Seed,Seed,,,1,"Mark Cuban, Nat Turner, Mark Pincus, ECMC, Dan Rosensweig",,,,,1900000,USD,1900000
Gem,https://www.crunchbase.com/organization/gem-software,"Internet, Recruiting, Software","Gem is an all-in-one recruiting platform that integrates with LinkedIn, Gmail, and Outlook, and your ATS.","2,358",11-50,2019-03-12,2017-01-01,year,,For Profit,http://linkedin.com/company/gem-recruiting-software,https://www.gem.com/,info@gem.com,,,"Nick Bushak, Steven Bartel",Series A,Early Stage Venture,,,2,"Y Combinator, Liquid 2 Ventures, Accel, WndrCo, Drew Houston",,,,,9000000,USD,9000000
